"model","TT","J","target_loading","sd.lambda","rho","k1_true","k1_est","k1_diff","k2_true","k2_est","k2_diff","phi11_true","phi11_est","phi11_diff","phi22_true","phi22_est","phi22_diff","phi12_true","phi12_est","phi12_diff","cor12_true","cor12_est","cor12_diff","err_perc","flag"
"EC_latent",3,5,0.6708,0,0,10,10.0040812660991,0.00408126609905324,0.625,0.618939440054579,-0.00606055994542065,25,24.9078480652293,-0.0921519347707225,5.0625,5.04921860391597,-0.0132813960840341,4.5,4.50192104989963,0.00192104989963315,0.4,0.401437263688638,0.00143726368863806,0,FALSE
"sum",3,5,0.6708,0,0,10,10.0040831140425,0.00408311404253681,0.625,0.618937582670668,-0.00606241732933177,25,24.9078816817794,-0.0921183182205993,5.0625,5.04926479183593,-0.0132352081640716,4.5,4.50189708354653,0.00189708354652929,0.4,0.401433019650513,0.00143301965051346,0,FALSE
"EC_latent",5,5,0.6708,0,0,10,10.002541453641,0.00254145364097624,0.625,0.620805861294733,-0.00419413870526719,25,24.966561041569,-0.0334389584309953,5.0625,5.06708183571971,0.00458183571971293,4.5,4.48085953160134,-0.0191404683986596,0.4,0.398385027167885,-0.00161497283211504,0,FALSE
"sum",5,5,0.6708,0,0,10,10.0025423006412,0.00254230064117955,0.625,0.62080547126512,-0.00419452873488046,25,24.9665631391608,-0.033436860839192,5.0625,5.06708569098572,0.00458569098571981,4.5,4.48085425543638,-0.0191457445636232,0.4,0.398384389783919,-0.00161561021608131,0,FALSE
"EC_latent",3,8,0.6708,0,0,16,16.0029426241774,0.00294262417738267,1,0.992271234321573,-0.00772876567842717,64,63.8789181887629,-0.121081811237062,12.96,12.9830506410544,0.0230506410544198,11.52,11.454242601167,-0.0657573988329698,0.4,0.397739959701149,-0.00226004029885141,0,FALSE
"sum",3,8,0.6708,0,0,16,16.0029437978829,0.00294379788287813,1,0.992270137661493,-0.00772986233850737,64,63.8789674868603,-0.121032513139653,12.96,12.9831310519898,0.0231310519898003,11.52,11.4541992868909,-0.0658007131091036,0.4,0.397737070473008,-0.0022629295269917,0,FALSE
"EC_latent",5,8,0.6708,0,0,16,16.0038290118014,0.00382901180140749,1,0.992987817790663,-0.00701218220933686,64,63.9447123658898,-0.0552876341102291,12.96,12.9771743830297,0.0171743830296744,11.52,11.4690807532411,-0.050919246758923,0.4,0.398140375045016,-0.00185962495498393,0,FALSE
"sum",5,8,0.6708,0,0,16,16.0038277761949,0.00382777619488905,1,0.992988419548003,-0.00701158045199701,64,63.9446554042142,-0.0553445957858116,12.96,12.9771769663933,0.017176966393297,11.52,11.4690880039232,-0.0509119960768096,0.4,0.398140764449105,-0.00185923555089534,0,FALSE
"EC_latent",3,5,0.4,0,0,10,10.006687578142,0.0066875781420439,0.625,0.618639298772724,-0.00636070122727561,25,24.8688947256611,-0.131105274338935,5.0625,5.00391884172421,-0.05858115827579,4.5,4.49613024345413,-0.00386975654586763,0.4,0.403046832801195,0.00304683280119461,0,TRUE
"sum",3,5,0.4,0,0,10,10.0066906678005,0.0066906678005072,0.625,0.61863595776601,-0.00636404223399045,25,24.8689172368022,-0.131082763197785,5.0625,5.00404862912468,-0.0584513708753231,4.5,4.49611227759347,-0.00388772240653257,0.4,0.403039813051536,0.00303981305153567,0,TRUE
"EC_latent",5,5,0.4,0,0,10,10.00578508873,0.00578508873004324,0.625,0.61987903557071,-0.00512096442929011,25,24.9597901953853,-0.0402098046146975,5.0625,5.06724534261819,0.00474534261819048,4.5,4.46665964942895,-0.0333403505710477,0.4,0.397169993725447,-0.00283000627455265,0,FALSE
