"","job_id","N_size","TT","J","target_loading","loading_quality","R2","sd.lambda","rho","cu_data","fit_cu","cu_model","spec","mu_alpha","mu_beta","var_alpha","var_beta","cov_ab","tau_un","lambda_un","nrep","seed","model","N","nrep_ok","err.perc","phi11.m","phi22.m","phi12.m","cor12.m","k1.m","k2.m","phi11.bias","phi22.bias","phi12.bias","cor12.bias","k1.bias","k2.bias","phi11.rbias","phi22.rbias","phi12.rbias","cor12.rbias","k1.rbias","k2.rbias","phi11.rmse","phi22.rmse","phi12.rmse","cor12.rmse","k1.rmse","k2.rmse","phi11.rel.rmse","phi12.rel.rmse","phi22.rel.rmse","kappa1.rel.rmse","kappa2.rel.rmse","phi11.cov","phi22.cov","phi12.cov","cor12.cov","k1.cov","k2.cov","phi11.power","phi22.power","phi12.power","cor12.power","k1.power","k2.power","chisq.m","df.m","pvalue.chi.m","cfi.m","tli.m","rmsea.m","srmr.m","chisq.sd","cfi.sd","tli.sd","rmsea.sd","srmr.sd","chisq.reject","admissible.m","rho_lab","F_ml"
1,1,200,3,3,0.6708,"vgood",0.45,0,0,"none",FALSE,"ignored","Correct (no CU)",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1220,0.39,0.41139835809091,0.109681051270368,0.0251015394016264,0.212790899676958,0.901892023763212,0.0756162263903018,0.0513983580909104,0.0367810512703681,-0.0396984605983736,-0.187209100323042,0.00189202376321186,0.00061622639030176,0.142773216919195,0.504541169689549,-0.612630564789716,-0.468022750807606,0.00210224862579096,0.00821635187069014,0.124850108961496,0.0654991941034345,0.0712842324049904,0.38174056112071,0.0699462735344594,0.0455389348681639,0.346805858226379,1.10006531489183,0.898480028853696,0.0777180817049549,0.607185798242185,0.980327868852459,0.979508196721312,0.977049180327869,0.848360655737705,0.95,0.95327868852459,0.895081967213115,0.187704918032787,0.0040983606557377,0.0204918032786885,1,0.376229508196721,39.3173637253668,39,0.490501848603141,0.992833123510848,0.999725444464696,0.0138328028613453,0.0483977339058678,9.04822807307431,0.0110954232999705,0.0163801266429694,0.0170040936087777,0.00797917063892765,0.0581967213114754,0.61,"Basic",NA
2,2,200,3,3,0.6708,"vgood",0.45,0,0.15,"AR1",FALSE,"ignored","CU ignored",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1542,0.229,0.474617416782469,0.129763025473449,0.00282107740444843,0.0930117209502899,0.902328070398717,0.0747700382954996,0.114617416782468,0.0568630254734492,-0.0619789225955516,-0.30698827904971,0.0023280703987172,-0.00022996170450039,0.318381713284634,0.780014066851154,-0.956464854869623,-0.767470697624275,0.00258674488746355,-0.00306615606000521,0.170735862503982,0.081357925861411,0.0914659063718675,0.441989049572855,0.071929354236755,0.0459552819937275,0.474266284733282,1.41151090080042,1.11602093088355,0.0799215047075056,0.6127370932497,0.916990920881971,0.939688715953307,0.927367055771725,0.699092088197147,0.944876783398184,0.942282749675746,0.96692607003891,0.308041504539559,0.00713359273670558,0.0525291828793774,1,0.373540856031128,57.3111709946249,39,0.110873557837998,0.966381854551481,0.96932855881572,0.0449076288477515,0.0517449073565652,12.5042273544452,0.0220242479640909,0.0209861804217513,0.0188866813510187,0.00711334538976622,0.56420233463035,0.771,"Cor.Unique",NA
3,3,200,3,3,0.4,"poor",0.16,0,0,"none",FALSE,"ignored","Correct (no CU)",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,550,0.725,0.488525938178379,0.143016149671912,-0.0299307361649156,-0.000920943336985499,0.902731285541404,0.0770314590872626,0.128525938178379,0.0701161496719118,-0.0947307361649156,-0.400920943336985,0.0027312855414038,0.00203145908726259,0.357016494939942,0.961812752701121,-1.46189407661907,-1.00230235834246,0.00303476171267089,0.0270861211635011,0.227047077945873,0.111158248180819,0.136641627606733,0.565815487131547,0.0964531569100735,0.068707633069941,0.630686327627424,2.1086670926965,1.5248045017945,0.107170174344526,0.916101774265879,0.990909090909091,0.996363636363636,0.996363636363636,0.798181818181818,0.943636363636364,0.950909090909091,0.229090909090909,0.0236363636363636,0,0.0581818181818182,1,0.176363636363636,38.6660244207332,39,0.511181349544403,0.964878616195181,1.01241297654342,0.0126829099250523,0.0582377840763352,8.84439255888033,0.0563807784483252,0.101502998835809,0.0164528032295129,0.00754229854255914,0.0436363636363636,0.275,"Basic",NA
4,4,200,3,3,0.4,"poor",0.16,0,0.15,"AR1",FALSE,"ignored","CU ignored",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,286,0.857,0.632692012667423,0.171240555222407,-0.0546601618192433,-0.0616698012496461,0.906454370878037,0.0715796516391572,0.272692012667423,0.0983405552224071,-0.119460161819243,-0.461669801249646,0.00645437087803689,-0.00342034836084285,0.757477812965063,1.34897880963521,-1.84352101572906,-1.15417450312412,0.00717152319781876,-0.045604644811238,0.345821299923366,0.135884415621015,0.16743268256895,0.597129046980777,0.0932001883446072,0.0677631290461872,0.960614722009349,2.58383769396527,1.86398375337469,0.103555764827341,0.903508387282495,0.947552447552448,0.98951048951049,0.982517482517482,0.671328671328671,0.951048951048951,0.954545454545455,0.520979020979021,0.0629370629370629,0.0034965034965035,0.132867132867133,1,0.178321678321678,55.2772519751177,39,0.138981652836787,0.871027512151475,0.883590628871331,0.0415072496619618,0.0653177515612968,12.3613001503271,0.0906069023986697,0.0881331661836695,0.0200246019582258,0.00772560476857454,0.479020979020979,0.143,"Cor.Unique",NA
5,5,200,3,5,0.6708,"vgood",0.45,0,0,"none",FALSE,"ignored","Correct (no CU)",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1308,0.346,1.12671854185706,0.292377403777156,0.0851868845868166,0.233518092316364,1.50395586331146,0.124571714122643,0.126718541857059,0.0898774037771565,-0.0948131154131834,-0.166481907683636,0.0039558633114581,-0.000428285877357314,0.126718541857059,0.443839030998304,-0.526739530073241,-0.416204769209091,0.00263724220763873,-0.00342628701885851,0.314145368081119,0.164855310694845,0.175747902442727,0.35827660611536,0.108853953085327,0.0706728032488826,0.314145368081119,0.976377235792928,0.81410029972763,0.072569302056885,0.565382425991061,0.975535168195719,0.964067278287462,0.966360856269113,0.848623853211009,0.954892966360856,0.94954128440367,0.967889908256881,0.246177370030581,0.00229357798165138,0.0160550458715596,1,0.41743119266055,117.575488338844,114,0.437571202551259,0.992965274708269,0.997311063863398,0.013133744100289,0.0528439671507525,15.7875485537394,0.00948195728710114,0.0127545498842652,0.0135694113826723,0.00565481224765642,0.0871559633027523,0.654,"Basic",NA
6,6,200,3,5,0.6708,"vgood",0.45,0,0.15,"AR1",FALSE,"ignored","CU ignored",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1596,0.202,1.21467207430617,0.321321749490192,0.0532835043593743,0.167723219460354,1.50628425017216,0.124243434950255,0.214672074306169,0.118821749490192,-0.126716495640626,-0.232276780539646,0.00628425017215766,-0.000756565049745475,0.214672074306169,0.586774071556502,-0.70398053133681,-0.580691951349115,0.00418950011477177,-0.0060525203979638,0.371486952733021,0.186816316007649,0.202396061535035,0.392137389003138,0.111828029725275,0.0692748745211281,0.371486952733021,1.12442256408353,0.922549708679746,0.07455201981685,0.554198996169025,0.93734335839599,0.945488721804511,0.93922305764411,0.769423558897243,0.93984962406015,0.949874686716792,0.989348370927318,0.351503759398496,0.0056390977443609,0.0231829573934837,1,0.43671679197995,153.503095016847,114,0.0524829227056357,0.966503679417821,0.969205922982353,0.0400415922474495,0.0547428947559507,19.7736677339476,0.0163869758487369,0.0152338619164479,0.0114983418406427,0.00523021279744867,0.74812030075188,0.798,"Cor.Unique",NA
7,7,200,3,5,0.4,"poor",0.16,0,0,"none",FALSE,"ignored","Correct (no CU)",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,870,0.565,1.27393219886123,0.356382924403435,-0.0180217182099763,0.0964158135889104,1.50509156939759,0.124448495500521,0.273932198861227,0.153882924403435,-0.198021718209976,-0.30358418641109,0.00509156939759433,-0.000551504499479097,0.273932198861227,0.759915676066344,-1.10012065672209,-0.758960466027724,0.00339437959839622,-0.00441203599583278,0.533580249377887,0.254655681019914,0.309711380908084,0.504037709529795,0.140866492929244,0.097619339819771,0.533580249377887,1.72061878282269,1.25755891861686,0.0939109952861624,0.780954718558168,0.985057471264368,0.991954022988506,0.983908045977012,0.78735632183908,0.94367816091954,0.94367816091954,0.525287356321839,0.0666666666666667,0.00229885057471264,0.0471264367816092,1,0.252873563218391,117.457156277573,114,0.440838880630091,0.965933117497803,0.990304459458254,0.0130449274945078,0.0632603290797103,15.9052061793068,0.0451042441031494,0.0661231937998175,0.013622528265682,0.00498910299402523,0.0977011494252874,0.435,"Basic",NA
8,8,200,3,5,0.4,"poor",0.16,0,0.15,"AR1",FALSE,"ignored","CU ignored",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,784,0.608,1.56925731969906,0.435515748985556,-0.0912398400909108,-0.0293456304485081,1.5053953653133,0.124355681028571,0.569257319699059,0.233015748985556,-0.271239840090911,-0.429345630448508,0.0053953653132988,-0.000644318971429193,0.569257319699059,1.15069505671879,-1.50688800050506,-1.07336407612127,0.00359691020886587,-0.00515455177143354,0.724533184171433,0.306973608942651,0.365943450291791,0.538977808526175,0.13669618360833,0.0937759194901624,0.724533184171433,2.03301916828773,1.51591905650692,0.09113078907222,0.750207355921299,0.94515306122449,0.982142857142857,0.966836734693878,0.670918367346939,0.95280612244898,0.950255102040816,0.8125,0.131377551020408,0.00127551020408163,0.0905612244897959,1,0.258928571428571,151.947517159402,114,0.0577897388980243,0.863240408421881,0.87439256434952,0.0391747643301244,0.0685194637117618,19.2304395790538,0.0651095179963321,0.0609401585685386,0.0115334673379754,0.00475004459150579,0.724489795918367,0.392,"Cor.Unique",NA
9,9,200,5,3,0.6708,"vgood",0.45,0,0,"none",FALSE,"ignored","Correct (no CU)",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1931,0.0345,0.363761537975831,0.0731677165549158,0.0634488986696358,0.42058665174499,0.901414061890178,0.0749161210767994,0.0037615379758307,0.000267716554915749,-0.00135110133036425,0.02058665174499,0.00141406189017776,-8.3878923200599e-05,0.0104487165995297,0.00367238072586761,-0.0208503291722878,0.0514666293624751,0.00157117987797529,-0.00111838564267465,0.0855982593075826,0.0154546221639292,0.0266053344307815,0.21750936507803,0.0630013011081092,0.0261671576849127,0.237772942521063,0.410576148623171,0.211997560547726,0.0700014456756769,0.348895435798837,0.954427757638529,0.94665976178146,0.972035214914552,0.960642154324184,0.94665976178146,0.951320559295702,0.998964267219058,1,0.619368203003625,0.378042465044019,1,0.81460383221129,121.974196373102,118,0.431771268151499,0.993941438929985,0.99754768137514,0.013215103139029,0.0561066766039289,16.1036513050074,0.00801881117703724,0.0102649287126191,0.0136311219400748,0.00731378015270198,0.0875194199896427,0.9655,"Basic",NA
10,10,200,5,3,0.6708,"vgood",0.45,0,0,"none",TRUE,"modeled","CU overfit",1,0.125,1,0.2025,0.18,0.1,0.2,2000,123,"EC_latent",200,1924,0.038,0.364259817585911,0.0731673956657484,0.0634051258594806,0.421351391976583,0.901064550163511,0.074992452505927,0.00425981758591094,0.000267395665748351,-0.00139487414051939,0.0213513919765834,0.00106455016351111,-7.54749407299327e-06,0.0118328266275304,0.00366797895402402,-0.0215258355018425,0.0533784799414584,0.00118283351501234,-0.000100633254306576,0.0864588695710678,0.0156834850322604,0.0269563489109847,0.221544134469267,0.0632345288847583,0.02622805725329,0.240163526586299,0.415993038749763,0.21513696889246,0.0702605876497314,0.349707430043867,0.954781704781705,0.947505197505197,0.968814968814969,0.95997920997921,0.945945945945946,0.949064449064449,0.997920997920998,1,0.602910602910603,0.354989604989605,1,0.817567567567568,109.75043680699,106,0.431260588447087,0.99429133465113,0.997426287649031,0.0135579043163119,0.0549963628733047,15.1534360273866,0.00755642321152681,0.0107623692500372,0.0139400037707755,0.00732938457719057,0.0862785862785863,0.962,"Basic",NA
