"","job_id","N_size","rho","loading_quality","target_loading","loading_type","sd.lambda","TT","J","mu_alpha","mu_beta","var_alpha","var_beta","cov_ab","tau_un","lambda_un","psi_mat","nrep","seed","model","N","nrep_ok","err.perc","phi11.m","phi22.m","phi12.m","cor12.m","k1.m","k2.m","phi11.bias","phi22.bias","phi12.bias","cor12.bias","k1.bias","k2.bias","phi11.rbias","phi22.rbias","phi12.rbias","cor12.rbias","k1.rbias","k2.rbias","phi11.rmse","phi22.rmse","phi12.rmse","cor12.rmse","k1.rmse","k2.rmse","phi11.rel.rmse","phi12.rel.rmse","phi22.rel.rmse","kappa1.rel.rmse","kappa2.rel.rmse","phi11.cov","phi22.cov","phi12.cov","cor12.cov","k1.cov","k2.cov","phi11.power","phi22.power","phi12.power","cor12.power","k1.power","k2.power","chisq.m","df.m","pvalue.chi.m","cfi.m","tli.m","rmsea.m","srmr.m","chisq.sd","cfi.sd","tli.sd","rmsea.sd","srmr.sd","chisq.reject","admissible.m","rho_lab"
"1",1,200,0,"vgood",0.6708,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",200,1220,0.39,0.41139835809091,0.109681051270368,0.0251015394016264,0.212790899676958,0.901892023763212,0.0756162263903018,0.0513983580909104,0.0367810512703681,-0.0396984605983736,-0.187209100323042,0.00189202376321186,0.00061622639030176,0.142773216919195,0.504541169689549,-0.612630564789716,-0.468022750807606,0.00210224862579096,0.00821635187069014,0.124850108961496,0.0654991941034345,0.0712842324049904,0.38174056112071,0.0699462735344594,0.0455389348681639,0.346805858226379,1.10006531489183,0.898480028853696,0.0777180817049549,0.607185798242185,0.980327868852459,0.979508196721312,0.977049180327869,0.848360655737705,0.95,0.95327868852459,0.895081967213115,0.187704918032787,0.0040983606557377,0.0204918032786885,1,0.376229508196721,39.3173637253668,39,0.490501848603141,0.992833123510848,0.999725444464696,0.0138328028613453,0.0483977339058678,9.04822807307431,0.0110954232999705,0.0163801266429694,0.0170040936087777,0.00797917063892765,0.0581967213114754,0.61,"Basic"
"2",2,500,0,"vgood",0.6708,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",500,1494,0.253,0.39128461355493,0.0935665433707358,0.0422951223773138,0.294145734352707,0.899761568342278,0.0747585312041683,0.03128461355493,0.0206665433707358,-0.0225048776226862,-0.105854265647293,-0.000238431657721904,-0.000241468795831728,0.0869017043192498,0.283491678610916,-0.347297494177256,-0.264635664118233,-0.000264924064135449,-0.00321958394442303,0.084609631948429,0.0445504540772429,0.0471505553664489,0.306379085422269,0.0446584520073034,0.0298430499815735,0.235026755412303,0.727632027260014,0.611117339879876,0.0496205022303371,0.397907333087647,0.975234270414993,0.963855421686747,0.970548862115127,0.870147255689424,0.94578313253012,0.941767068273092,1,0.373493975903614,0.0287817938420348,0.00468540829986613,1,0.724899598393574,39.0173713898624,39,0.502100784174835,0.99726494190563,1.00004274407756,0.00835015767224696,0.0303274288964745,8.96953229447011,0.00439749118977074,0.00641147865644486,0.0106514130483976,0.00458660935776958,0.0589022757697456,0.747,"Basic"
"3",3,800,0,"vgood",0.6708,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",800,1639,0.1805,0.3801606468752,0.0861407704767053,0.0502805366386121,0.34100937717138,0.900442655597776,0.0748248872290242,0.0201606468751998,0.0132407704767053,-0.0145194633613879,-0.0589906228286199,0.000442655597775883,-0.00017511277097581,0.056001796875555,0.181629224646163,-0.224065792614011,-0.14747655707155,0.000491839553084314,-0.00233483694634414,0.0657804601372762,0.0355631716191775,0.0376444059747902,0.277031234918217,0.0349640880713169,0.0229364036507254,0.182723500381323,0.580932190968985,0.487835001634808,0.0388489867459077,0.305818715343005,0.973764490543014,0.967053081147041,0.968883465527761,0.901769371568029,0.955460646735815,0.951799877974375,1,0.521659548505186,0.161683953630262,0.0012202562538133,1,0.906040268456376,38.7327999204456,39,0.508616279951803,0.998385372094872,1.00014046527139,0.00639228474797653,0.0239714157412329,8.74251559634626,0.00261795130937294,0.0039095079155426,0.00816729593795261,0.00363263013769743,0.0500305064063453,0.8195,"Basic"
"4",4,200,0.15,"vgood",0.6708,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",200,1253,0.3735,0.418680849413165,0.10868363924837,0.0223747005341122,0.201360336973171,0.904529277748441,0.0735701166107134,0.0586808494131648,0.0357836392483696,-0.0424252994658878,-0.198639663026829,0.00452927774844092,-0.00142988338928657,0.163002359481013,0.490859248948829,-0.654711411510614,-0.496599157567073,0.00503253083160102,-0.0190651118571542,0.133736780724381,0.0647547653763164,0.0738609035286413,0.399699572413447,0.0721139923720731,0.0462597350009554,0.371491057567725,1.13982875815804,0.888268386506398,0.0801266581911923,0.616796466679406,0.97366320830008,0.969672785315243,0.97366320830008,0.825219473264166,0.943335993615323,0.94413407821229,0.905027932960894,0.194732641660016,0.000798084596967279,0.0183559457302474,1,0.357541899441341,33.6449823310984,33,0.479983988122948,0.993460573820961,0.99894292885456,0.0150761550900117,0.0459324329495518,8.48200292616036,0.0103676838996086,0.0169888353502579,0.0179884313801291,0.00766027779921092,0.0582601755786113,0.6265,"Cor.Unique"
"5",5,500,0.15,"vgood",0.6708,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",500,1513,0.2435,0.38796006651028,0.0915861702275233,0.0450599971003619,0.314098966622306,0.900327965944797,0.0745087530493576,0.0279600665102795,0.0186861702275233,-0.0197400028996381,-0.0859010333776943,0.000327965944797132,-0.00049124695064244,0.0776668514174432,0.25632606622117,-0.304629674377131,-0.214752583444236,0.000364406605330146,-0.0065499593418992,0.0843742237877238,0.0429319855130809,0.0454135724069835,0.305878837027305,0.0451154553945413,0.029036230349589,0.234372843854788,0.700826734675671,0.588916125007968,0.0501282837717125,0.38714973799452,0.96827495042961,0.973562458691342,0.976867151354924,0.874421678783873,0.943820224719101,0.951090548578982,0.999339061467284,0.395241242564441,0.0423000660938533,0.0046265697290152,1,0.738268341044283,33.1730975243913,33,0.496703796961387,0.997533854347432,0.999905607256609,0.00907978235947096,0.02866735400202,8.30771953479322,0.00385433292189161,0.00658558756033177,0.0111756994960305,0.00462523517097047,0.0627891606080634,0.7565,"Cor.Unique"
"6",6,800,0.15,"vgood",0.6708,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",800,1640,0.18,0.375496117267719,0.0848005490283396,0.0529095821368678,0.361245912761648,0.898188456047452,0.0752846069716333,0.0154961172677188,0.0119005490283396,-0.0118904178631322,-0.0387540872383518,-0.00181154395254776,0.000284606971633255,0.0430447701881076,0.163244842638403,-0.183494102826114,-0.0968852180958794,-0.00201282661394196,0.00379475962177673,0.0656017787138139,0.035041223779504,0.0367596914106871,0.273355637328518,0.0355963406353358,0.0227886725844821,0.182227163093928,0.56727918843653,0.480675223312812,0.0395514895948176,0.303848967793095,0.978048780487805,0.969512195121951,0.969512195121951,0.898170731707317,0.951829268292683,0.954878048780488,1,0.517073170731707,0.194512195121951,0.000609756097560976,1,0.904268292682927,32.8724759753724,33,0.500806026979064,0.998594739327032,1.00008214177734,0.0068484519068999,0.0226729445428445,7.94312801785878,0.00223047782094672,0.00395161236511885,0.00840606070723944,0.00374191325477078,0.0420731707317073,0.82,"Cor.Unique"
"7",7,200,0,"poor",0.4,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",200,550,0.725,0.488525938178379,0.143016149671912,-0.0299307361649156,-0.000920943336985499,0.902731285541404,0.0770314590872626,0.128525938178379,0.0701161496719118,-0.0947307361649156,-0.400920943336985,0.0027312855414038,0.00203145908726259,0.357016494939942,0.961812752701121,-1.46189407661907,-1.00230235834246,0.00303476171267089,0.0270861211635011,0.227047077945873,0.111158248180819,0.136641627606733,0.565815487131547,0.0964531569100735,0.068707633069941,0.630686327627424,2.1086670926965,1.5248045017945,0.107170174344526,0.916101774265879,0.990909090909091,0.996363636363636,0.996363636363636,0.798181818181818,0.943636363636364,0.950909090909091,0.229090909090909,0.0236363636363636,0,0.0581818181818182,1,0.176363636363636,38.6660244207332,39,0.511181349544403,0.964878616195181,1.01241297654342,0.0126829099250523,0.0582377840763352,8.84439255888033,0.0563807784483252,0.101502998835809,0.0164528032295129,0.00754229854255914,0.0436363636363636,0.275,"Basic"
"8",8,500,0,"poor",0.4,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",500,1000,0.5,0.464908541544757,0.12570175937336,-0.0053895599283569,0.0868925175126674,0.900379332809081,0.0738910325764628,0.104908541544757,0.0528017593733602,-0.0701895599283569,-0.313107482487333,0.000379332809080861,-0.00110896742353719,0.291412615402102,0.724303969456244,-1.08317222111662,-0.782768706218331,0.000421480898978734,-0.0147862323138292,0.179179443152162,0.0851918327726873,0.103905519965669,0.482182943876175,0.062214073041801,0.0456703608505137,0.497720675422673,1.60348024638378,1.16861224653892,0.0691267478242234,0.608938144673516,0.972,0.986,0.98,0.787,0.943,0.945,0.675,0.103,0.003,0.051,1,0.386,39.4394917744289,39,0.489441647097639,0.983199540009587,0.999314315487084,0.00894912654031401,0.0371610563874382,9.09167120997695,0.0255704887903822,0.0377713847090299,0.0109214371570374,0.0047484754772354,0.064,0.5,"Basic"
"9",9,800,0,"poor",0.4,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",800,1209,0.3955,0.43322852039305,0.113443964729179,0.0144887052274517,0.169907420611471,0.901554863421439,0.0734868290817306,0.07322852039305,0.0405439647291794,-0.0503112947725483,-0.230092579388529,0.00155486342143879,-0.00151317091826939,0.203412556647361,0.556158638260348,-0.776408869946733,-0.575231448471322,0.00172762602382088,-0.0201756122435919,0.138353184257478,0.0699383316902042,0.0823420254206482,0.419066878865107,0.0494833747636944,0.03488830567091,0.384314400715217,1.27071026883716,0.959373548562471,0.054981527515216,0.465177408945467,0.97601323407775,0.977667493796526,0.973531844499586,0.818031430934657,0.948717948717949,0.948717948717949,0.869313482216708,0.15550041356493,0.00496277915632754,0.0297766749379653,1,0.570719602977667,38.7680117977647,39,0.505442675069208,0.990928163632,1.00111387265653,0.00640362746222361,0.0292144588786006,8.72428513589374,0.0146341763159639,0.0225802777665711,0.0081213272792369,0.00361421829316178,0.0471464019851117,0.6045,"Basic"
"10",10,200,0.15,"poor",0.4,"tau_eq",0,3,3,1,0.125,1,0.2025,0.18,0.1,0.2,"1.097^2;0.98^2;0.95^2;0.93^2;0.91^2;0.89^2;0.87^2;0.85^2",2000,123,"EC_latent",200,618,0.691,0.517980365225377,0.144684807092583,-0.0439298279126019,-0.0538035661554469,0.90489769845517,0.07333235867761,0.157980365225376,0.071784807092583,-0.108729827912602,-0.453803566155447,0.0048976984551701,-0.00166764132238996,0.438834347848268,0.984702429253539,-1.67792944309571,-1.13450891538862,0.00544188717241122,-0.0222352176318662,0.263029752766883,0.114490022344282,0.154739982009252,0.610237506692254,0.102420111683398,0.0715124982924587,0.730638202130229,2.38796268532796,1.57050785108754,0.113800124092665,0.953499977232783,0.98705501618123,0.990291262135922,0.990291262135922,0.775080906148867,0.948220064724919,0.940129449838188,0.23462783171521,0.0355987055016181,0.00323624595469256,0.0938511326860841,1,0.192556634304207,33.5416618836482,33,0.483158165084793,0.973681723268164,0.999500386378594,0.0148862231816384,0.0544790573272774,8.43596216118418,0.0404160958502449,0.0729496949670796,0.0178393160220869,0.0078301013710718,0.0550161812297735,0.309,"Cor.Unique"
