"model","rho","TT","J","loading_type","loading_quality","cu_modeled","spec_status","phi1.plim","phi2.plim","phi12.plim","cor12.plim","k1.plim","k2.plim","phi1.tgt","phi2.tgt","phi12.tgt","cor12.tgt","k1.tgt","k2.tgt","phi1.arbias","phi2.arbias","phi12.arbias","cor12.arbias","k2.arbias","rmsea.pop","cfi.pop","srmr.pop","df.pop"
"EC_latent",0,3,3,"tau_eq","vgood",FALSE,"correct (no CU)",0.36000000067382,0.0728999907534653,0.0648000039346315,0.40000004928123,0.900000002675868,0.0749999986260705,0.36,0.0729,0.0648,0.4,0.9,0.075,1.87172237585563e-09,-1.26838610868756e-07,6.07196214176113e-08,1.23203075380607e-07,-1.83190597876267e-08,0,1,3.50174191753529e-09,39
"sum",0,3,3,"tau_eq","vgood",FALSE,"correct (no CU)",0.359999996125934,0.0728999984433884,0.0648000024148076,0.400000021329019,0.900000000224715,0.0749999999094181,0.36,0.0729,0.0648,0.4,0.9,0.075,-1.07612954041652e-08,-2.13526974641577e-08,3.72655492284107e-08,5.33225465171316e-08,-1.20775870785887e-09,0,1,1.57323403514066e-09,1
"EC_latent",0.15,3,3,"tau_eq","vgood",FALSE,"MISSPEC (CU omitted)",0.456960980142968,0.121380397317422,0.0163195568228993,0.0692938233798827,0.899999967019878,0.0750000435294503,0.36,0.0729,0.0648,0.4,0.9,0.075,0.26933605595269,0.665026026302089,-0.748154987300936,-0.826765441550293,5.80392671145624e-07,0.0484894588076853,0.966606256888048,0.0206361121484156,39
"sum",0.15,3,3,"tau_eq","vgood",FALSE,"MISSPEC (CU omitted)",0.456960700435188,0.121380342024825,0.0163196542587728,0.0692942740890081,0.900000000953269,0.0750000003698985,0.36,0.0729,0.0648,0.4,0.9,0.075,0.269335278986633,0.665025267830245,-0.748153483660913,-0.82676431477748,4.93197963950346e-09,0,1,1.35501904704745e-08,1
"EC_latent",0,5,3,"tau_eq","vgood",FALSE,"correct (no CU)",0.359999997399022,0.0729000004782034,0.0648000002292049,0.40000000154789,0.899999999923261,0.0749999981755106,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,-7.22493931965612e-09,6.55971638081294e-09,3.53711294650328e-09,3.86972454080592e-09,-2.4326525978798e-08,0,1,2.28688633136366e-09,118
"sum",0,5,3,"tau_eq","vgood",FALSE,"correct (no CU)",0.360000011885426,0.0729000063809263,0.0647999948932138,0.399999944367647,0.900000000802201,0.0750000003180103,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,3.30150716950269e-08,8.75298519079001e-08,-7.88084281903667e-08,-1.39080881395026e-07,4.24013694525863e-09,0,1,1.14598998919955e-08,10
"EC_latent",0.15,5,3,"tau_eq","vgood",TRUE,"correct (CU modeled)",0.359999981877063,0.0728999977267782,0.0648000061849581,0.400000054483602,0.9000000009988,0.075000001207027,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,-5.03414906982691e-08,-3.1182741002959e-08,9.54468838499086e-08,1.36209005185961e-07,1.6093693044894e-08,0,1,3.18489447971233e-09,106
"sum",0.15,5,3,"tau_eq","vgood",TRUE,"correct (CU modeled)",0.360000010219613,0.0728999994497361,0.0647999962708102,0.399999972812388,0.89999998345543,0.0750000003966702,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,2.83878127794858e-08,-7.54820265124462e-09,-5.75492260156421e-08,-6.79690301264025e-08,5.28893540074904e-09,0,1,1.49414759148934e-08,6
"EC_latent",0,3,5,"tau_eq","vgood",FALSE,"correct (no CU)",0.999999989740786,0.202499962290257,0.180000002993336,0.400000045947897,1.50000002148313,0.124999984651423,1,0.2025,0.18,0.4,1.5,0.125,-1.0259214144881e-08,-1.8622095127932e-07,1.66296444207662e-08,1.14869742329216e-07,-1.2278861760695e-07,0,1,1.19160028496468e-08,114
"sum",0,3,5,"tau_eq","vgood",FALSE,"correct (no CU)",1.00000004243376,0.202500015052805,0.179999976174828,0.399999923701458,1.50000000212927,0.124999998559427,1,0.2025,0.18,0.4,1.5,0.125,4.2433756730631e-08,7.4334837051203e-08,-1.32362068836242e-07,-1.90746354267191e-07,-1.15245860632385e-08,0,1,3.65582205412555e-09,1
"EC_latent",0.15,3,5,"tau_eq","vgood",FALSE,"MISSPEC (CU omitted)",1.16160109670128,0.283300668795346,0.0991994762147336,0.172924716540913,1.50000002406919,0.124999986917454,1,0.2025,0.18,0.4,1.5,0.125,0.161601096701279,0.399015648372078,-0.448891798807035,-0.567688208647717,-1.04660367261644e-07,0.0400696492313499,0.968941004584183,0.0184574998219799,114
"sum",0.15,3,5,"tau_eq","vgood",FALSE,"MISSPEC (CU omitted)",1.1616012505229,0.283300607586942,0.0991993778822559,0.172924552358609,1.50000000918181,0.124999995779741,1,0.2025,0.18,0.4,1.5,0.125,0.161601250522896,0.399015346108353,-0.448892345098578,-0.567688619103477,-3.37620708057429e-08,0,1,6.14825381048897e-09,1
"EC_latent",0,5,5,"tau_eq","vgood",FALSE,"correct (no CU)",1.0000000133134,0.202499998340116,0.180000007561828,0.400000015780774,1.49999998263515,0.125000002334127,1,0.2025,0.18,0.4,1.5,0.125,1.33134048230232e-08,-8.1969573789766e-09,4.20101580066322e-08,3.94519343582811e-08,1.86730162443638e-08,0,1,6.36020539743232e-09,327
"sum",0,5,5,"tau_eq","vgood",FALSE,"correct (no CU)",1.00000000849725,0.202499995494722,0.180000019129873,0.400000045261035,1.49999998221943,0.125000002973961,1,0.2025,0.18,0.4,1.5,0.125,8.49725489970865e-09,-2.22482852442868e-08,1.06277071710971e-07,1.13152587855048e-07,2.37916910617031e-08,0,1,1.2855300725794e-08,10
"EC_latent",0.15,5,5,"tau_eq","vgood",TRUE,"correct (CU modeled)",1.00000002066035,0.202500004216314,0.179999995698117,0.399999982143928,1.4999999912415,0.125000006313723,1,0.2025,0.18,0.4,1.5,0.125,2.06603549823825e-08,2.08213013360207e-08,-2.38993527129022e-08,-4.46401798859242e-08,5.05097810243882e-08,0,1,6.82880204129119e-09,307
"sum",0.15,5,5,"tau_eq","vgood",TRUE,"correct (CU modeled)",0.999999879432582,0.202499997068403,0.180000022373995,0.400000076728883,1.49999997624732,0.125000004222518,1,0.2025,0.18,0.4,1.5,0.125,-1.20567418160356e-07,-1.44770227356108e-08,1.24299973092157e-07,1.91822207840087e-07,3.37801451255615e-08,0,1,1.25006348472056e-08,6
"EC_latent",0,3,3,"congeneric","vgood",FALSE,"correct (no CU)",0.35999998938793,0.0729000036490631,0.0648000041435026,0.400000021461624,0.899999996454832,0.0750000027775617,0.36,0.0729,0.0648,0.4,0.9,0.075,-2.94779737656607e-08,5.00557349722982e-08,6.39429404487086e-08,5.36540600837299e-08,3.70341555570401e-08,0,1,6.63438924791328e-09,39
"sum",0,3,3,"congeneric","vgood",FALSE,"correct (no CU)",0.359999983682472,0.072899987323692,0.0648000139806682,0.400000130142981,0.899999997316296,0.0750000013803882,0.36,0.0729,0.0648,0.4,0.9,0.075,-4.53264669624747e-08,-1.73886254998642e-07,2.15751052997141e-07,3.25357451813613e-07,1.84051760869034e-08,0,1,6.76146313124673e-09,1
"EC_latent",0.15,3,3,"congeneric","vgood",FALSE,"MISSPEC (CU omitted)",0.456960719597778,0.121380383459469,0.0163196131180242,0.0692940861227078,0.899999993681694,0.0749999943498593,0.36,0.0729,0.0648,0.4,0.9,0.075,0.26933533221605,0.665025836206704,-0.74815411854901,-0.82676478469323,-7.53352093670519e-08,0.0484894588076331,0.96660625688812,0.0206361121483022,39
"sum",0.15,3,3,"congeneric","vgood",FALSE,"MISSPEC (CU omitted)",0.461000741235485,0.123400348466888,0.0142996408709885,0.0599537186596049,0.899999997699378,0.0749999963026185,0.36,0.0729,0.0648,0.4,0.9,0.075,0.280557614543013,0.692734546870886,-0.779326529768697,-0.850115703350988,-4.9298419605807e-08,0,1,1.17479389355802e-08,1
"EC_latent",0,5,3,"congeneric","vgood",FALSE,"correct (no CU)",0.35999999705029,0.0728999994306275,0.0647999977444791,0.399999989277824,0.899999990985793,0.0750000002096606,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,-8.19363943977475e-09,-7.81032303303831e-09,-3.48074212199981e-08,-2.68054400898166e-08,2.79547459255032e-09,0,1,7.04325200514476e-09,118
"sum",0,5,3,"congeneric","vgood",FALSE,"correct (no CU)",0.360000003160122,0.0729000012485582,0.0647999972991875,0.399999978147295,0.899999996858183,0.0750000011094772,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,8.77811696787923e-09,1.71269971227699e-08,-4.16792057400117e-08,-5.46317618921322e-08,1.47930284688513e-08,0,1,2.84879583636704e-09,10
"EC_latent",0.15,5,3,"congeneric","vgood",TRUE,"correct (CU modeled)",0.360000004245438,0.0728999995181006,0.0647999995071611,0.399999995921291,0.900000002086309,0.0749999997399222,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,1.1792884415909e-08,-6.61041846927875e-09,-7.60553914086265e-09,-1.01967721766183e-08,-3.46770464195363e-09,0,1,1.92639977533069e-09,106
"sum",0.15,5,3,"congeneric","vgood",TRUE,"correct (CU modeled)",0.360000014578745,0.072900001293446,0.0647999957758264,0.399999962277004,0.89999997941747,0.0750000020296929,0.36,0.0729000000000001,0.0648,0.4,0.9,0.075,4.04965135499443e-08,1.77427421939178e-08,-6.51878647512433e-08,-9.43074897341579e-08,2.70625714430631e-08,0,1,1.706671272557e-08,6
"EC_latent",0,3,5,"congeneric","vgood",FALSE,"correct (no CU)",0.999999994897817,0.202500002221758,0.180000000373218,0.39999999965548,1.50000000253892,0.124999998791204,1,0.2025,0.18,0.4,1.5,0.125,-5.10218345350921e-09,1.09716463623534e-08,2.07343108731766e-09,-8.61300336607585e-10,-9.67036861698745e-09,0,1,1.49428641815866e-09,114
