"TT","model","rho","reliability","N_size","phi2.rbias","phi2.relrmse","cor12.rbias","phi2.cov","cor12.cov","pct.admiss"
5,"EC_latent",0,"Reliable (R²=.45)",200,0.00141239354113432,0.203168182203193,0.0557266341340446,0.945877264879621,0.963123302756427,0.977
5,"EC_latent",0,"Reliable (R²=.45)",500,-0.00128937065307178,0.129632540780722,0.0250241364946784,0.947186205828365,0.955195283012248,0.99875
5,"EC_latent",0,"Reliable (R²=.45)",800,0.000196999020025566,0.102709031647441,0.0203507578735694,0.94125,0.949,1
5,"EC_latent",0,"Poor (R²=.16)",200,0.0424984287020788,0.312638198396127,-0.0863542645258577,0.977551685390566,0.935249208756508,0.659
5,"EC_latent",0,"Poor (R²=.16)",500,0.0106236126502215,0.207325901175777,0.0289171640580969,0.968420516200227,0.945289059865739,0.90475
5,"EC_latent",0,"Poor (R²=.16)",800,0.005698031139048,0.17012577928488,0.0555832192794525,0.954731180858544,0.952768442452908,0.9575
5,"EC_latent",0.15,"Reliable (R²=.45)",200,0.00337407464075605,0.206948145542578,0.0647072645869236,0.950803065933952,0.953522243933392,0.972125
5,"EC_latent",0.15,"Reliable (R²=.45)",500,-0.00210360080860309,0.131061973218359,0.0364842999327718,0.947093760056381,0.953849332481872,0.999375
5,"EC_latent",0.15,"Reliable (R²=.45)",800,-7.11437860079039e-05,0.105878241904898,0.0165325770083235,0.94625,0.953625,1
5,"EC_latent",0.15,"Poor (R²=.16)",200,0.0656606782052115,0.330300562811299,-0.120246026506701,0.979567656792061,0.926071158475682,0.644875
5,"EC_latent",0.15,"Poor (R²=.16)",500,0.0189344641268251,0.222518383442105,0.0153347316900095,0.966676813764747,0.934588129568444,0.8845
5,"EC_latent",0.15,"Poor (R²=.16)",800,0.0108712693123002,0.183168080803477,0.0436477995910343,0.959374046702508,0.941158038647152,0.95075
5,"sum",0,"Reliable (R²=.45)",200,0.00237289510474217,0.204455387265887,0.0519512527989308,0.946532224409485,0.960702281106323,0.977
5,"sum",0,"Reliable (R²=.45)",500,-0.00139169676083802,0.129926877224013,0.025834016781451,0.949188710086506,0.954444531885181,0.99875
5,"sum",0,"Reliable (R²=.45)",800,0.000462598480603723,0.103156169545458,0.0202096091716476,0.94325,0.949625,1
5,"sum",0,"Poor (R²=.16)",200,0.0743768336080633,0.329938075207498,-0.132009087707453,0.975078993940432,0.918914219479355,0.824875
5,"sum",0,"Poor (R²=.16)",500,0.0185614352338989,0.214024014530927,0.014823330736928,0.965332616413594,0.939713371254128,0.937625
5,"sum",0,"Poor (R²=.16)",800,0.00974449182070686,0.17483604706318,0.0475554318340041,0.953336047834206,0.947162295789691,0.966125
5,"sum",0.15,"Reliable (R²=.45)",200,0.0593768340197493,0.291967796809814,-0.06546006483279,0.979825823079777,0.914563883343506,0.817625
5,"sum",0.15,"Reliable (R²=.45)",500,0.0122428340401764,0.198294762605927,0.0374797547712017,0.967933268184369,0.934965216054697,0.95
5,"sum",0.15,"Reliable (R²=.45)",800,0.00229027874169701,0.169060253367207,0.049960129482948,0.950709841422647,0.938906438133314,0.98625
5,"sum",0.15,"Poor (R²=.16)",200,0.260125864063287,0.527894068120628,-0.491347910864235,0.970381789060087,0.827766440746985,0.680375
5,"sum",0.15,"Poor (R²=.16)",500,0.110752208749171,0.339414413141564,-0.182252757703776,0.965297240616553,0.883997020603859,0.791875
5,"sum",0.15,"Poor (R²=.16)",800,0.0652342293858854,0.272677369085511,-0.0748826115320318,0.965008457094587,0.909392184484854,0.853375
