model,TT,rho,reliability,N_size,phi2_total,cor12_total,phi2_asym,cor12_asym,phi2_finite,cor12_finite
EC_latent,3,0.0,R2=.16,200,0.8618794001315144,-0.8806319980856515,1.4220423067256897e-07,6.136086826147296e-08,0.8618792579272837,-0.8806320594465198
EC_latent,3,0.0,R2=.16,500,0.623264650147103,-0.6709978184415677,1.4220423067256897e-07,6.136086826147296e-08,0.6232645079428722,-0.670997879802436
EC_latent,3,0.0,R2=.16,800,0.473282554910902,-0.4827368700026137,1.4220423067256897e-07,6.136086826147296e-08,0.4732824127066713,-0.482736931363482
EC_latent,3,0.0,R2=.45,200,0.474267877597687,-0.4421142519933867,-6.30080452033561e-08,7.271639436423633e-08,0.47426794060573224,-0.44211432470978107
EC_latent,3,0.0,R2=.45,500,0.24432031061875475,-0.2151105274418345,-6.30080452033561e-08,7.271639436423633e-08,0.24432037362679995,-0.2151106001582289
EC_latent,3,0.0,R2=.45,800,0.1559521137068305,-0.11950956258332247,-6.30080452033561e-08,7.271639436423633e-08,0.15595217671487568,-0.11950963529971684
EC_latent,3,0.15,R2=.16,200,0.8664765553460815,-0.9662017457598641,2.2850163986453875,-1.600128078928855,-1.418539843299306,0.6339263331689909
EC_latent,3,0.15,R2=.16,500,0.5843434345118655,-0.602053606628786,2.2850163986453875,-1.600128078928855,-1.7006729641335219,0.998074472300069
EC_latent,3,0.15,R2=.16,800,0.466917085945184,-0.4658566211783715,2.2850163986453875,-1.600128078928855,-1.8180993127002036,1.1342714577504835
EC_latent,3,0.15,R2=.45,200,0.4514745765721607,-0.4363236716239167,0.5320206363379212,-0.697226987483524,-0.08054605976576046,0.26090331585960724
EC_latent,3,0.15,R2=.45,500,0.21622243151399276,-0.16385457676937626,0.5320206363379212,-0.697226987483524,-0.3157982048239284,0.5333724107141478
EC_latent,3,0.15,R2=.45,800,0.1328298532490524,-0.0671406300362213,0.5320206363379212,-0.697226987483524,-0.3991907830888688,0.6300863574473027
sum,3,0.0,R2=.16,200,1.3735958716734276,-1.0447524272514899,8.582798705477229e-08,-2.0918274511866336e-07,1.3735957858454404,-1.0447522180687447
sum,3,0.0,R2=.16,500,0.7879610670391113,-0.726523391640591,8.582798705477229e-08,-2.0918274511866336e-07,0.7879609812111242,-0.7265231824578459
sum,3,0.0,R2=.16,800,0.5409114527027534,-0.5209669290186487,8.582798705477229e-08,-2.0918274511866336e-07,0.5409113668747664,-0.5209667198359036
sum,3,0.0,R2=.45,200,0.523514209491243,-0.45194388183581474,-1.8214434184749347e-08,1.597591767210639e-08,0.5235142277056772,-0.45194389781173244
sum,3,0.0,R2=.45,500,0.25190824803206424,-0.21985822103934874,-1.8214434184749347e-08,1.597591767210639e-08,0.2519082662464984,-0.2198582370152664
sum,3,0.0,R2=.45,800,0.15543544588707275,-0.1174942874341805,-1.8214434184749347e-08,1.597591767210639e-08,0.15543546410150694,-0.11749430341009817
sum,3,0.15,R2=.16,200,2.6155093936927925,-1.4993644249784799,2.3361919910609776,-1.6146748611608976,0.2793174026318148,0.11531043618241776
sum,3,0.15,R2=.16,500,2.3153413235729223,-1.4809878220740451,2.3361919910609776,-1.6146748611608976,-0.020850667488055308,0.13368703908685253
sum,3,0.15,R2=.16,800,2.312760313261615,-1.5247845841179775,2.3361919910609776,-1.6146748611608976,-0.023431677799362838,0.08989027704292019
sum,3,0.15,R2=.45,200,0.7813710079063181,-0.7078431218624955,0.5439353162755052,-0.7085535380050305,0.2374356916308129,0.0007104161425349753
sum,3,0.15,R2=.45,500,0.587328672682796,-0.6047054607302813,0.5439353162755052,-0.7085535380050305,0.043393356407290806,0.1038480772747492
sum,3,0.15,R2=.45,800,0.550574495651105,-0.6058753769498808,0.5439353162755052,-0.7085535380050305,0.0066391793755997686,0.10267816105514971
EC_latent,5,0.0,R2=.16,200,0.042498428702078775,-0.08635426452585768,-4.030594841273348e-09,-8.86353629381278e-10,0.04249843273267362,-0.08635426363950405
EC_latent,5,0.0,R2=.16,500,0.010623612650221525,0.028917164058096897,-4.030594841273348e-09,-8.86353629381278e-10,0.010623616680816366,0.028917164944450527
EC_latent,5,0.0,R2=.16,800,0.0056980311390479495,0.05558321927945255,-4.030594841273348e-09,-8.86353629381278e-10,0.005698035169642791,0.05558322016580618
EC_latent,5,0.0,R2=.45,200,0.001412393541134325,0.05572663413404455,-2.5698836501141854e-09,3.375291712792707e-09,0.001412396111017975,0.05572663075875284
EC_latent,5,0.0,R2=.45,500,-0.00128937065307175,0.0250241364946784,-2.5698836501141854e-09,3.375291712792707e-09,-0.0012893680831881,0.02502413311938669
EC_latent,5,0.0,R2=.45,800,0.000196999020025575,0.0203507578735694,-2.5698836501141854e-09,3.375291712792707e-09,0.00019700158990922513,0.02035075449827769
EC_latent,5,0.15,R2=.16,200,0.06566067820521154,-0.12024602650670102,6.70078817916507e-09,-6.456947591187974e-08,0.06566067150442337,-0.12024596193722512
